			"AGREE(back,nonlocal)"	"AGREE(front,local)"	"AGREE(nonhigh_front,local)"	"AGREE(low_front,local)"	"AGREE(double_front,local)"	USE_FRONT/bilabial__	"USE_FRONT/[+cor,+son]__"	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
Plokvé	Plokvének	1	1	0	0	0	0	0	0	0	0	0
Szib	Szibnak	0	0	1	0	0	0	1	0	0	0	0
Szib	Szibnek	1	0	0	0	0	0	0	0	0	0	0
Hébb	Hébbnak	1	0	1	1	0	0	1	0	0	1	0
Hébb	Hébbnek	0	0	0	0	0	0	0	0	0	0	0
Kápites	Kápitesnak	0	0	1	1	1	1	0	0	1	0	0
Kápites	Kápitesnek	1	1	0	0	0	0	0	0	0	0	0
konyig	konyignak	0	0	1	0	0	0	0	0	0	0	0
konyig	konyignek	1	1	0	0	0	0	0	0	0	0	0
talasén	talasénnak	1	0	1	1	0	0	0	1	0	0	0
talasén	talasénnek	0	1	0	0	0	0	0	0	0	0	0
énd	éndnak	0	0	1	1	0	0	0	0	0	1	0
énd	éndnek	1	0	0	0	0	0	0	0	0	0	0
Fátir	Fátirnak	1	0	1	0	0	0	0	1	0	0	0
Fátir	Fátirnek	0	1	0	0	0	0	0	0	0	0	0
nyánsádín	nyánsádínnak	1	0	1	0	0	0	0	1	0	0	0
nyánsádín	nyánsádínnek	0	1	0	0	0	0	0	0	0	0	0
Savik	Saviknak	1	0	1	0	0	0	0	0	0	0	0
Savik	Saviknek	0	1	0	0	0	0	0	0	0	0	0
gyokcet	gyokcetnak	0	0	1	1	1	0	0	0	0	0	0
gyokcet	gyokcetnek	1	1	0	0	0	0	0	0	0	0	0
kes	kesnak	0	0	1	1	1	0	0	0	1	0	0
kes	kesnek	1	0	0	0	0	0	0	0	0	0	0
vatatinc	vatatincnak	1	0	1	0	0	0	0	0	1	1	0
vatatinc	vatatincnek	0	1	0	0	0	0	0	0	0	0	0
Kogyotim	Kogyotimnak	1	0	1	0	0	0	1	0	0	0	0
Kogyotim	Kogyotimnek	0	1	0	0	0	0	0	0	0	0	0
Varrarell	Varrarellnak	0	0	1	1	1	0	0	1	0	1	0
Varrarell	Varrarellnek	1	1	0	0	0	0	0	0	0	0	0
Ralárelt	Raláreltnak	1	0	1	1	1	0	0	0	0	1	0
Ralárelt	Raláreltnek	0	1	0	0	0	0	0	0	0	0	0
Ulvégis	Ulvégisnak	1	0	1	0	0	1	0	0	1	0	0
Ulvégis	Ulvégisnek	0	1	0	0	0	0	0	0	0	0	0
tátem	tátemnak	0	0	1	1	1	0	1	0	0	0	0
tátem	tátemnek	1	1	0	0	0	0	0	0	0	0	0
kebb	kebbnak	0	0	1	1	1	0	1	0	0	1	0
kebb	kebbnek	1	0	0	0	0	0	0	0	0	0	0
nyélt	nyéltnak	0	0	1	1	0	0	0	0	0	1	0
nyélt	nyéltnek	1	0	0	0	0	0	0	0	0	0	0
Tebb	Tebbnak	0	0	1	1	1	0	1	0	0	1	0
Tebb	Tebbnek	1	0	0	0	0	0	0	0	0	0	0
gir	girnak	1	0	1	0	0	0	0	1	0	0	0
gir	girnek	0	0	0	0	0	0	0	0	0	0	0
Beny	Benynak	1	0	1	1	1	0	0	1	0	0	0
Beny	Benynek	0	0	0	0	0	0	0	0	0	0	0
káltíllett	káltíllettnak	0	0	1	1	1	1	0	0	0	1	0
káltíllett	káltíllettnek	1	1	0	0	0	0	0	0	0	0	0
ik	iknak	1	0	1	0	0	0	0	0	0	0	0
ik	iknek	0	0	0	0	0	0	0	0	0	0	0
véns	vénsnak	1	0	1	1	0	0	0	0	1	1	0
véns	vénsnek	0	0	0	0	0	0	0	0	0	0	0
Szányócsénny	Szányócsénnynak	0	0	1	1	0	0	0	1	0	1	0
Szányócsénny	Szányócsénnynek	1	1	0	0	0	0	0	0	0	0	0
Komésztes	Komésztesnak	1	0	1	1	1	1	0	0	1	0	0
Komésztes	Komésztesnek	0	1	0	0	0	0	0	0	0	0	0
dem	demnak	1	0	1	1	1	0	1	0	0	0	0
dem	demnek	0	0	0	0	0	0	0	0	0	0	0
Nyém	Nyémnak	1	0	1	1	0	0	1	0	0	0	0
Nyém	Nyémnek	0	0	0	0	0	0	0	0	0	0	0
Balily	Balilynak	1	0	1	0	0	0	0	0	0	0	0
Balily	Balilynek	0	1	0	0	0	0	0	0	0	0	0
Nyámpis	Nyámpisnak	1	0	1	0	0	0	0	0	1	0	0
Nyámpis	Nyámpisnek	0	1	0	0	0	0	0	0	0	0	0
Éjn	Éjnnak	0	0	1	1	0	0	0	1	0	1	0
Éjn	Éjnnek	1	0	0	0	0	0	0	0	0	0	0
vírm	vírmnak	1	0	1	0	0	0	1	0	0	1	0
vírm	vírmnek	0	0	0	0	0	0	0	0	0	0	1
szélt	széltnak	1	0	1	1	0	0	0	0	0	1	0
szélt	széltnek	0	0	0	0	0	0	0	0	0	0	0
konyolés	konyolésnak	1	0	1	1	0	0	0	0	1	0	0
konyolés	konyolésnek	0	1	0	0	0	0	0	0	0	0	0
nírs	nírsnak	0	0	1	0	0	0	0	0	1	1	0
nírs	nírsnek	1	0	0	0	0	0	0	0	0	0	1
csarmirt	csarmirtnak	1	0	1	0	0	0	0	0	0	1	0
csarmirt	csarmirtnek	0	1	0	0	0	0	0	0	0	0	0
panyíp	panyípnak	1	0	1	0	0	0	1	0	0	0	0
panyíp	panyípnek	0	1	0	0	0	0	0	0	0	0	0
Hártelyzek	Hártelyzeknak	0	0	1	1	1	1	0	0	0	0	0
Hártelyzek	Hártelyzeknek	1	1	0	0	0	0	0	0	0	0	0
Fálenér	Fálenérnak	1	0	1	1	0	1	0	1	0	0	0
Fálenér	Fálenérnek	0	1	0	0	0	0	0	0	0	0	0
Fle	Flenak	1	0	1	1	1	0	0	0	0	0	0
Fle	Flenek	0	0	0	0	0	0	0	0	0	0	0
Fes	Fesnak	1	0	1	1	1	0	0	0	1	0	0
Fes	Fesnek	0	0	0	0	0	0	0	0	0	0	0
valélín	valélínnak	1	0	1	0	0	1	0	1	0	0	0
valélín	valélínnek	0	1	0	0	0	0	0	0	0	0	0
nálim	nálimnak	1	0	1	0	0	0	1	0	0	0	0
nálim	nálimnek	0	1	0	0	0	0	0	0	0	0	0
agelt	ageltnak	0	0	1	1	1	0	0	0	0	1	0
agelt	ageltnek	1	1	0	0	0	0	0	0	0	0	0
Zorsajlelm	Zorsajlelmnak	1	0	1	1	1	0	1	0	0	1	0
Zorsajlelm	Zorsajlelmnek	0	1	0	0	0	0	0	0	0	0	0
ém	émnak	1	0	1	1	0	0	1	0	0	0	0
ém	émnek	0	0	0	0	0	0	0	0	0	0	0
Tolmóres	Tolmóresnak	0	0	1	1	1	0	0	0	1	0	0
Tolmóres	Tolmóresnek	1	1	0	0	0	0	0	0	0	0	0
balézen	balézennak	0	0	1	1	1	1	0	1	0	0	0
balézen	balézennek	1	1	0	0	0	0	0	0	0	0	0
raploes	raploesnak	0	0	1	1	1	0	0	0	1	0	0
raploes	raploesnek	1	1	0	0	0	0	0	0	0	0	0
gányem	gányemnak	1	0	1	1	1	0	1	0	0	0	0
gányem	gányemnek	0	1	0	0	0	0	0	0	0	0	0
Iny	Inynak	0	0	1	0	0	0	0	1	0	0	0
Iny	Inynek	1	0	0	0	0	0	0	0	0	0	0
Sasselink	Sasselinknak	0	0	1	0	0	1	0	0	0	1	0
Sasselink	Sasselinknek	1	1	0	0	0	0	0	0	0	0	0
Réns	Rénsnak	1	0	1	1	0	0	0	0	1	1	0
Réns	Rénsnek	0	0	0	0	0	0	0	0	0	0	0
Farirt	Farirtnak	0	0	1	0	0	0	0	0	0	1	0
Farirt	Farirtnek	1	1	0	0	0	0	0	0	0	0	0
szónúgye	szónúgyenak	1	0	1	1	1	0	0	0	0	0	0
szónúgye	szónúgyenek	0	1	0	0	0	0	0	0	0	0	0
rern	rernnak	1	0	1	1	1	0	0	1	0	1	0
rern	rernnek	0	0	0	0	0	0	0	0	0	0	0
norótig	norótignak	0	0	1	0	0	0	0	0	0	0	0
norótig	norótignek	1	1	0	0	0	0	0	0	0	0	0
Ett	Ettnak	0	0	1	1	1	0	0	0	0	1	0
Ett	Ettnek	1	0	0	0	0	0	0	0	0	0	0
tém	témnak	0	0	1	1	0	0	1	0	0	0	0
tém	témnek	1	0	0	0	0	0	0	0	0	0	0
Bérny	Bérnynak	1	0	1	1	0	0	0	1	0	1	0
Bérny	Bérnynek	0	0	0	0	0	0	0	0	0	0	0
véns	vénsnak	0	0	1	1	0	0	0	0	1	1	0
véns	vénsnek	1	0	0	0	0	0	0	0	0	0	0
trimb	trimbnak	1	0	1	0	0	0	1	0	0	1	0
trimb	trimbnek	0	0	0	0	0	0	0	0	0	0	0
nazemek	nazemeknak	0	0	1	1	1	1	0	0	0	0	0
nazemek	nazemeknek	1	1	0	0	0	0	0	0	0	0	0
Jéngy	Jéngynak	1	0	1	1	0	0	0	0	0	1	0
Jéngy	Jéngynek	0	0	0	0	0	0	0	0	0	0	0
Hangésztém	Hangésztémnak	0	0	1	1	0	1	1	0	0	0	0
Hangésztém	Hangésztémnek	1	1	0	0	0	0	0	0	0	0	0
Sonyánes	Sonyánesnak	1	0	1	1	1	0	0	0	1	0	0
Sonyánes	Sonyánesnek	0	1	0	0	0	0	0	0	0	0	0
Szócség	Szócségnak	1	0	1	1	0	0	0	0	0	0	0
Szócség	Szócségnek	0	1	0	0	0	0	0	0	0	0	0
padisin	padisinnak	1	0	1	0	0	1	0	1	0	0	0
padisin	padisinnek	0	1	0	0	0	0	0	0	0	0	0
hanzállér	hanzállérnak	0	0	1	1	0	0	0	1	0	0	0
hanzállér	hanzállérnek	1	1	0	0	0	0	0	0	0	0	0
szunnyis	szunnyisnak	0	0	1	0	0	0	0	0	1	0	0
szunnyis	szunnyisnek	1	1	0	0	0	0	0	0	0	0	0
Átyóncém	Átyóncémnak	1	0	1	1	0	0	1	0	0	0	0
Átyóncém	Átyóncémnek	0	1	0	0	0	0	0	0	0	0	0
konátep	konátepnak	0	0	1	1	1	0	1	0	0	0	0
konátep	konátepnek	1	1	0	0	0	0	0	0	0	0	0
Szondakes	Szondakesnak	1	0	1	1	1	0	0	0	1	0	0
Szondakes	Szondakesnek	0	1	0	0	0	0	0	0	0	0	0
szátit	szátitnak	0	0	1	0	0	0	0	0	0	0	0
szátit	szátitnek	1	1	0	0	0	0	0	0	0	0	0
duneksest	duneksestnak	1	0	1	1	1	1	0	0	0	1	0
duneksest	duneksestnek	0	1	0	0	0	0	0	0	0	0	0
korvesztít	korvesztítnak	1	0	1	0	0	1	0	0	0	0	0
korvesztít	korvesztítnek	0	1	0	0	0	0	0	0	0	0	0
Csell	Csellnak	1	0	1	1	1	0	0	1	0	1	0
Csell	Csellnek	0	0	0	0	0	0	0	0	0	0	0
Motátmes	Motátmesnak	0	0	1	1	1	0	0	0	1	0	0
Motátmes	Motátmesnek	1	1	0	0	0	0	0	0	0	0	0
Tert	Tertnak	0	0	1	1	1	0	0	0	0	1	0
Tert	Tertnek	1	0	0	0	0	0	0	0	0	0	0
Gyurmen	Gyurmennak	0	0	1	1	1	0	0	1	0	0	0
Gyurmen	Gyurmennek	1	1	0	0	0	0	0	0	0	0	0
nondártens	nondártensnak	1	0	1	1	1	0	0	0	1	1	0
nondártens	nondártensnek	0	1	0	0	0	0	0	0	0	0	0
strolavín	strolavínnak	1	0	1	0	0	0	0	1	0	0	0
strolavín	strolavínnek	0	1	0	0	0	0	0	0	0	0	0
gyílp	gyílpnak	0	0	1	0	0	0	1	0	0	1	0
gyílp	gyílpnek	1	0	0	0	0	0	0	0	0	0	1
Szarcásim	Szarcásimnak	0	0	1	0	0	0	1	0	0	0	0
Szarcásim	Szarcásimnek	1	1	0	0	0	0	0	0	0	0	0
jit	jitnak	0	0	1	0	0	0	0	0	0	0	0
jit	jitnek	1	0	0	0	0	0	0	0	0	0	0
Vamlatlejn	Vamlatlejnnak	1	0	1	1	1	0	0	1	0	1	0
Vamlatlejn	Vamlatlejnnek	0	1	0	0	0	0	0	0	0	0	0
zibb	zibbnak	1	0	1	0	0	0	1	0	0	1	0
zibb	zibbnek	0	0	0	0	0	0	0	0	0	0	0
hens	hensnak	1	0	1	1	1	0	0	0	1	1	0
hens	hensnek	0	0	0	0	0	0	0	0	0	0	0
plést	pléstnak	0	0	1	1	0	0	0	0	0	1	0
plést	pléstnek	1	0	0	0	0	0	0	0	0	0	0
Toréten	Torétennak	1	0	1	1	1	1	0	1	0	0	0
Toréten	Torétennek	0	1	0	0	0	0	0	0	0	0	0
Oleszkris	Oleszkrisnak	1	0	1	0	0	1	0	0	1	0	0
Oleszkris	Oleszkrisnek	0	1	0	0	0	0	0	0	0	0	0
Uzény	Uzénynak	1	0	1	1	0	0	0	1	0	0	0
Uzény	Uzénynek	0	1	0	0	0	0	0	0	0	0	0
Plíg	Plígnak	0	0	1	0	0	0	0	0	0	0	0
Plíg	Plígnek	1	0	0	0	0	0	0	0	0	0	1
hotelt	hoteltnak	0	0	1	1	1	0	0	0	0	1	0
hotelt	hoteltnek	1	1	0	0	0	0	0	0	0	0	0
jotebris	jotebrisnak	1	0	1	0	0	1	0	0	1	0	0
jotebris	jotebrisnek	0	1	0	0	0	0	0	0	0	0	0
aasszim	aasszimnak	1	0	1	0	0	0	1	0	0	0	0
aasszim	aasszimnek	0	1	0	0	0	0	0	0	0	0	0
Szurent	Szurentnak	0	0	1	1	1	0	0	0	0	1	0
Szurent	Szurentnek	1	1	0	0	0	0	0	0	0	0	0
tabeny	tabenynak	0	0	1	1	1	0	0	1	0	0	0
tabeny	tabenynek	1	1	0	0	0	0	0	0	0	0	0
Tes	Tesnak	0	0	1	1	1	0	0	0	1	0	0
Tes	Tesnek	1	0	0	0	0	0	0	0	0	0	0
malkébb	malkébbnak	1	0	1	1	0	0	1	0	0	1	0
malkébb	malkébbnek	0	1	0	0	0	0	0	0	0	0	0
hénc	héncnak	0	0	1	1	0	0	0	0	1	1	0
hénc	héncnek	1	0	0	0	0	0	0	0	0	0	0
szény	szénynak	1	0	1	1	0	0	0	1	0	0	0
szény	szénynek	0	0	0	0	0	0	0	0	0	0	0
Álésztím	Álésztímnak	1	0	1	0	0	1	1	0	0	0	0
Álésztím	Álésztímnek	0	1	0	0	0	0	0	0	0	0	0
Tokes	Tokesnak	0	0	1	1	1	0	0	0	1	0	0
Tokes	Tokesnek	1	1	0	0	0	0	0	0	0	0	0
Árondell	Árondellnak	1	0	1	1	1	0	0	1	0	1	0
Árondell	Árondellnek	0	1	0	0	0	0	0	0	0	0	0
Pakéndíjj	Pakéndíjjnak	0	0	1	0	0	1	0	0	0	1	0
Pakéndíjj	Pakéndíjjnek	1	1	0	0	0	0	0	0	0	0	0
mámloszé	mámloszénak	0	0	1	1	0	0	0	0	0	0	0
mámloszé	mámloszének	1	1	0	0	0	0	0	0	0	0	0
honyit	honyitnak	0	0	1	0	0	0	0	0	0	0	0
honyit	honyitnek	1	1	0	0	0	0	0	0	0	0	0
alégim	alégimnak	0	0	1	0	0	1	1	0	0	0	0
alégim	alégimnek	1	1	0	0	0	0	0	0	0	0	0
Dólték	Dóltéknak	1	0	1	1	0	0	0	0	0	0	0
Dólték	Dóltéknek	0	1	0	0	0	0	0	0	0	0	0
szaírfik	szaírfiknak	0	0	1	0	0	1	0	0	0	0	0
szaírfik	szaírfiknek	1	1	0	0	0	0	0	0	0	0	0
Ángem	Ángemnak	0	0	1	1	1	0	1	0	0	0	0
Ángem	Ángemnek	1	1	0	0	0	0	0	0	0	0	0
mazeres	mazeresnak	1	0	1	1	1	1	0	0	1	0	0
mazeres	mazeresnek	0	1	0	0	0	0	0	0	0	0	0
várétveny	várétvenynak	0	0	1	1	1	1	0	1	0	0	0
várétveny	várétvenynek	1	1	0	0	0	0	0	0	0	0	0
dorgémp	dorgémpnak	0	0	1	1	0	0	1	0	0	1	0
dorgémp	dorgémpnek	1	1	0	0	0	0	0	0	0	0	0
Dáten	Dátennak	1	0	1	1	1	0	0	1	0	0	0
Dáten	Dátennek	0	1	0	0	0	0	0	0	0	0	0
Parvins	Parvinsnak	0	0	1	0	0	0	0	0	1	1	0
Parvins	Parvinsnek	1	1	0	0	0	0	0	0	0	0	0
Hukem	Hukemnak	1	0	1	1	1	0	1	0	0	0	0
Hukem	Hukemnek	0	1	0	0	0	0	0	0	0	0	0
Étt	Éttnak	1	0	1	1	0	0	0	0	0	1	0
Étt	Éttnek	0	0	0	0	0	0	0	0	0	0	0
orbámbes	orbámbesnak	0	0	1	1	1	0	0	0	1	0	0
orbámbes	orbámbesnek	1	1	0	0	0	0	0	0	0	0	0
híll	híllnak	1	0	1	0	0	0	0	1	0	1	0
híll	híllnek	0	0	0	0	0	0	0	0	0	0	1
tolélt	toléltnak	0	0	1	1	0	0	0	0	0	1	0
tolélt	toléltnek	1	1	0	0	0	0	0	0	0	0	0
Turásztem	Turásztemnak	1	0	1	1	1	0	1	0	0	0	0
Turásztem	Turásztemnek	0	1	0	0	0	0	0	0	0	0	0
hádeny	hádenynak	0	0	1	1	1	0	0	1	0	0	0
hádeny	hádenynek	1	1	0	0	0	0	0	0	0	0	0
Fágyét	Fágyétnak	0	0	1	1	0	0	0	0	0	0	0
Fágyét	Fágyétnek	1	1	0	0	0	0	0	0	0	0	0
gotoelf	gotoelfnak	0	0	1	1	1	0	0	0	0	1	0
gotoelf	gotoelfnek	1	1	0	0	0	0	0	0	0	0	0
harirt	harirtnak	1	0	1	0	0	0	0	0	0	1	0
harirt	harirtnek	0	1	0	0	0	0	0	0	0	0	0
szins	szinsnak	1	0	1	0	0	0	0	0	1	1	0
szins	szinsnek	0	0	0	0	0	0	0	0	0	0	0
Gyer	Gyernak	0	0	1	1	1	0	0	1	0	0	0
Gyer	Gyernek	1	0	0	0	0	0	0	0	0	0	0
Sukaszip	Sukaszipnak	0	0	1	0	0	0	1	0	0	0	0
Sukaszip	Sukaszipnek	1	1	0	0	0	0	0	0	0	0	0
Nyejn	Nyejnnak	0	0	1	1	1	0	0	1	0	1	0
Nyejn	Nyejnnek	1	0	0	0	0	0	0	0	0	0	0
Vizs	Vizsnak	0	0	1	0	0	0	0	0	1	0	0
Vizs	Vizsnek	1	0	0	0	0	0	0	0	0	0	0
szemb	szembnak	1	0	1	1	1	0	1	0	0	1	0
szemb	szembnek	0	0	0	0	0	0	0	0	0	0	0
kújánzé	kújánzénak	1	0	1	1	0	0	0	0	0	0	0
kújánzé	kújánzének	0	1	0	0	0	0	0	0	0	0	0
gosztajes	gosztajesnak	1	0	1	1	1	0	0	0	1	0	0
gosztajes	gosztajesnek	0	1	0	0	0	0	0	0	0	0	0
Szelt	Szeltnak	1	0	1	1	1	0	0	0	0	1	0
Szelt	Szeltnek	0	0	0	0	0	0	0	0	0	0	0
tázardik	tázardiknak	0	0	1	0	0	0	0	0	0	0	0
tázardik	tázardiknek	1	1	0	0	0	0	0	0	0	0	0
Kalmír	Kalmírnak	0	0	1	0	0	0	0	1	0	0	0
Kalmír	Kalmírnek	1	1	0	0	0	0	0	0	0	0	0
szálétt	száléttnak	0	0	1	1	0	0	0	0	0	1	0
szálétt	száléttnek	1	1	0	0	0	0	0	0	0	0	0
csirny	csirnynak	0	0	1	0	0	0	0	1	0	1	0
csirny	csirnynek	1	0	0	0	0	0	0	0	0	0	0
ácse	ácsenak	1	0	1	1	1	0	0	0	0	0	0
ácse	ácsenek	0	1	0	0	0	0	0	0	0	0	0
Eny	Enynak	1	0	1	1	1	0	0	1	0	0	0
Eny	Enynek	0	0	0	0	0	0	0	0	0	0	0
Mápágem	Mápágemnak	0	0	1	1	1	0	1	0	0	0	0
Mápágem	Mápágemnek	1	1	0	0	0	0	0	0	0	0	0
Csógares	Csógaresnak	1	0	1	1	1	0	0	0	1	0	0
Csógares	Csógaresnek	0	1	0	0	0	0	0	0	0	0	0
Karádlins	Karádlinsnak	1	0	1	0	0	0	0	0	1	1	0
Karádlins	Karádlinsnek	0	1	0	0	0	0	0	0	0	0	0
muzmes	muzmesnak	1	0	1	1	1	0	0	0	1	0	0
muzmes	muzmesnek	0	1	0	0	0	0	0	0	0	0	0
turtimb	turtimbnak	1	0	1	0	0	0	1	0	0	1	0
turtimb	turtimbnek	0	1	0	0	0	0	0	0	0	0	0
faskémlep	faskémlepnak	1	0	1	1	1	1	1	0	0	0	0
faskémlep	faskémlepnek	0	1	0	0	0	0	0	0	0	0	0
Szobojtit	Szobojtitnak	1	0	1	0	0	0	0	0	0	0	0
Szobojtit	Szobojtitnek	0	1	0	0	0	0	0	0	0	0	0
matéll	matéllnak	0	0	1	1	0	0	0	1	0	1	0
matéll	matéllnek	1	1	0	0	0	0	0	0	0	0	0
Té	Ténak	0	0	1	1	0	0	0	0	0	0	0
Té	Tének	1	0	0	0	0	0	0	0	0	0	0
mastagseng	mastagsengnak	0	0	1	1	1	0	0	0	0	1	0
mastagseng	mastagsengnek	1	1	0	0	0	0	0	0	0	0	0
sziz	sziznak	1	0	1	0	0	0	0	0	1	0	0
sziz	sziznek	0	0	0	0	0	0	0	0	0	0	0
síny	sínynak	0	0	1	0	0	0	0	1	0	0	0
síny	sínynek	1	0	0	0	0	0	0	0	0	0	1
Hólketecc	Hólketeccnak	0	0	1	1	1	1	0	0	1	1	0
Hólketecc	Hólketeccnek	1	1	0	0	0	0	0	0	0	0	0
Kogyozer	Kogyozernak	0	0	1	1	1	0	0	1	0	0	0
Kogyozer	Kogyozernek	1	1	0	0	0	0	0	0	0	0	0
Tes	Tesnak	0	0	1	1	1	0	0	0	1	0	0
Tes	Tesnek	1	0	0	0	0	0	0	0	0	0	0
Sulém	Sulémnak	1	0	1	1	0	0	1	0	0	0	0
Sulém	Sulémnek	0	1	0	0	0	0	0	0	0	0	0
spébb	spébbnak	0	0	1	1	0	0	1	0	0	1	0
spébb	spébbnek	1	0	0	0	0	0	0	0	0	0	0
gyem	gyemnak	0	0	1	1	1	0	1	0	0	0	0
gyem	gyemnek	1	0	0	0	0	0	0	0	0	0	0
orird	orirdnak	1	0	1	0	0	0	0	0	0	1	0
orird	orirdnek	0	1	0	0	0	0	0	0	0	0	0
Ganvi	Ganvinak	0	0	1	0	0	0	0	0	0	0	0
Ganvi	Ganvinek	1	1	0	0	0	0	0	0	0	0	0
merr	merrnak	0	0	1	1	1	0	0	1	0	1	0
merr	merrnek	1	0	0	0	0	0	0	0	0	0	0
Kagyzin	Kagyzinnak	1	0	1	0	0	0	0	1	0	0	0
Kagyzin	Kagyzinnek	0	1	0	0	0	0	0	0	0	0	0
laleb	lalebnak	0	0	1	1	1	0	1	0	0	0	0
laleb	lalebnek	1	1	0	0	0	0	0	0	0	0	0
patles	patlesnak	1	0	1	1	1	0	0	0	1	0	0
patles	patlesnek	0	1	0	0	0	0	0	0	0	0	0
aonsett	aonsettnak	1	0	1	1	1	0	0	0	0	1	0
aonsett	aonsettnek	0	1	0	0	0	0	0	0	0	0	0
Kens	Kensnak	0	0	1	1	1	0	0	0	1	1	0
Kens	Kensnek	1	0	0	0	0	0	0	0	0	0	0
Nazesz	Nazesznak	1	0	1	1	1	0	0	0	1	0	0
Nazesz	Nazesznek	0	1	0	0	0	0	0	0	0	0	0
Talonyem	Talonyemnak	0	0	1	1	1	0	1	0	0	0	0
Talonyem	Talonyemnek	1	1	0	0	0	0	0	0	0	0	0
Fándék	Fándéknak	0	0	1	1	0	0	0	0	0	0	0
Fándék	Fándéknek	1	1	0	0	0	0	0	0	0	0	0
kuzullilt	kuzulliltnak	0	0	1	0	0	0	0	0	0	1	0
kuzullilt	kuzulliltnek	1	1	0	0	0	0	0	0	0	0	0
kákoler	kákolernak	1	0	1	1	1	0	0	1	0	0	0
kákoler	kákolernek	0	1	0	0	0	0	0	0	0	0	0
temb	tembnak	0	0	1	1	1	0	1	0	0	1	0
temb	tembnek	1	0	0	0	0	0	0	0	0	0	0
Rókiszk	Rókiszknak	0	0	1	0	0	0	0	0	0	1	0
Rókiszk	Rókiszknek	1	1	0	0	0	0	0	0	0	0	0
nyozeg	nyozegnak	0	0	1	1	1	0	0	0	0	0	0
nyozeg	nyozegnek	1	1	0	0	0	0	0	0	0	0	0
Duskagyfeccs	Duskagyfeccsnak	1	0	1	1	1	0	0	0	1	1	0
Duskagyfeccs	Duskagyfeccsnek	0	1	0	0	0	0	0	0	0	0	0
femb	fembnak	0	0	1	1	1	0	1	0	0	1	0
femb	fembnek	1	0	0	0	0	0	0	0	0	0	0
kándézek	kándézeknak	0	0	1	1	1	1	0	0	0	0	0
kándézek	kándézeknek	1	1	0	0	0	0	0	0	0	0	0
tuttér	tuttérnak	1	0	1	1	0	0	0	1	0	0	0
tuttér	tuttérnek	0	1	0	0	0	0	0	0	0	0	0
Csákkiken	Csákkikennak	1	0	1	1	1	1	0	1	0	0	0
Csákkiken	Csákkikennek	0	1	0	0	0	0	0	0	0	0	0
Vúgazip	Vúgazipnak	0	0	1	0	0	0	1	0	0	0	0
Vúgazip	Vúgazipnek	1	1	0	0	0	0	0	0	0	0	0
Prudes	Prudesnak	0	0	1	1	1	0	0	0	1	0	0
Prudes	Prudesnek	1	1	0	0	0	0	0	0	0	0	0
Érr	Érrnak	0	0	1	1	0	0	0	1	0	1	0
Érr	Érrnek	1	0	0	0	0	0	0	0	0	0	0
pálves	pálvesnak	0	0	1	1	1	0	0	0	1	0	0
pálves	pálvesnek	1	1	0	0	0	0	0	0	0	0	0
vudtsett	vudtsettnak	0	0	1	1	1	0	0	0	0	1	0
vudtsett	vudtsettnek	1	1	0	0	0	0	0	0	0	0	0
kasém	kasémnak	1	0	1	1	0	0	1	0	0	0	0
kasém	kasémnek	0	1	0	0	0	0	0	0	0	0	0
Traem	Traemnak	0	0	1	1	1	0	1	0	0	0	0
Traem	Traemnek	1	1	0	0	0	0	0	0	0	0	0
dúlmí	dúlmínak	0	0	1	0	0	0	0	0	0	0	0
dúlmí	dúlmínek	1	1	0	0	0	0	0	0	0	0	0
Szotetes	Szotetesnak	1	0	1	1	1	1	0	0	1	0	0
Szotetes	Szotetesnek	0	1	0	0	0	0	0	0	0	0	0
szargís	szargísnak	0	0	1	0	0	0	0	0	1	0	0
szargís	szargísnek	1	1	0	0	0	0	0	0	0	0	0
álést	áléstnak	0	0	1	1	0	0	0	0	0	1	0
álést	áléstnek	1	1	0	0	0	0	0	0	0	0	0
jagalinc	jagalincnak	1	0	1	0	0	0	0	0	1	1	0
jagalinc	jagalincnek	0	1	0	0	0	0	0	0	0	0	0
Vartegyzelt	Vartegyzeltnak	1	0	1	1	1	1	0	0	0	1	0
Vartegyzelt	Vartegyzeltnek	0	1	0	0	0	0	0	0	0	0	0
Adattény	Adatténynak	0	0	1	1	0	0	0	1	0	0	0
Adattény	Adatténynek	1	1	0	0	0	0	0	0	0	0	0
Sortek	Sorteknak	0	0	1	1	1	0	0	0	0	0	0
Sortek	Sorteknek	1	1	0	0	0	0	0	0	0	0	0
Mágéb	Mágébnak	1	0	1	1	0	0	1	0	0	0	0
Mágéb	Mágébnek	0	1	0	0	0	0	0	0	0	0	0
víny	vínynak	1	0	1	0	0	0	0	1	0	0	0
víny	vínynek	0	0	0	0	0	0	0	0	0	0	1
horedvebb	horedvebbnak	0	0	1	1	1	1	1	0	0	1	0
horedvebb	horedvebbnek	1	1	0	0	0	0	0	0	0	0	0
bohenny	bohennynak	0	0	1	1	1	0	0	1	0	1	0
bohenny	bohennynek	1	1	0	0	0	0	0	0	0	0	0
Orandilt	Orandiltnak	0	0	1	0	0	0	0	0	0	1	0
Orandilt	Orandiltnek	1	1	0	0	0	0	0	0	0	0	0
ábbelés	ábbelésnak	0	0	1	1	0	1	0	0	1	0	0
ábbelés	ábbelésnek	1	1	0	0	0	0	0	0	0	0	0
